Controller,RMSE(ex),MAE(ex),RMSE(ey),MAE(ey),RMSE(ez),MAE(ez)
Fuzzy PD,0.1170,0.0294,0.0123,0.0094,0.1155,0.0278
PD,0.2778,0.2136,0.1934,0.1751,0.2240,0.0946
