Controller,RMSE(ex),MAE(ex),RMSE(ey),MAE(ey),RMSE(ez),MAE(ez)
Fuzzy PD,0.1200,0.0422,0.0258,0.0219,0.1184,0.0415
PD,0.2778,0.2154,0.1929,0.1687,0.2117,0.1081
